plant,part,parasite,group,concentration_mgml,timepoint,weight_g,animal_dead,data_flag
A. indica,stem bark,T. evansi,Positive Control,NA,Pre-Infection,23.4,FALSE,NA
A. indica,stem bark,T. evansi,Positive Control,NA,Infection,23.9,FALSE,NA
A. indica,stem bark,T. evansi,Positive Control,NA,Post-Infection,24.13,FALSE,NA
A. indica,leaves,T. evansi,100mg/ml,100,Pre-Infection,29.3,FALSE,NA
A. indica,leaves,T. evansi,100mg/ml,100,Infection,30.1,FALSE,NA
A. indica,leaves,T. evansi,100mg/ml,100,Post-Infection,28.33,FALSE,NA
A. indica,leaves,T. evansi,10mg/ml,10,Pre-Infection,28.03,FALSE,NA
A. indica,leaves,T. evansi,10mg/ml,10,Infection,28.87,FALSE,NA
A. indica,leaves,T. evansi,10mg/ml,10,Post-Infection,28.53,FALSE,NA
A. indica,leaves,T. evansi,0.5mg/ml,0.5,Pre-Infection,28.33,FALSE,NA
A. indica,leaves,T. evansi,0.5mg/ml,0.5,Infection,28.8,FALSE,NA
A. indica,leaves,T. evansi,0.5mg/ml,0.5,Post-Infection,27.5,FALSE,NA
A. indica,leaves,T. evansi,0.01mg/ml,0.01,Pre-Infection,24.17,FALSE,NA
A. indica,leaves,T. evansi,0.01mg/ml,0.01,Infection,26.07,FALSE,NA
A. indica,leaves,T. evansi,0.01mg/ml,0.01,Post-Infection,28.25,FALSE,NA
A. indica,leaves,T. evansi,0.005mg/ml,0.005,Pre-Infection,26.07,FALSE,NA
A. indica,leaves,T. evansi,0.005mg/ml,0.005,Infection,25.07,FALSE,NA
A. indica,leaves,T. evansi,0.005mg/ml,0.005,Post-Infection,25.67,FALSE,NA
A. indica,leaves,T. evansi,Negative Control,NA,Pre-Infection,28.2,FALSE,NA
A. indica,leaves,T. evansi,Negative Control,NA,Infection,33.77,FALSE,NA
A. indica,leaves,T. evansi,Negative Control,NA,Post-Infection,NA,TRUE,missing = animal died before measurement
A. indica,leaves,T. evansi,Positive Control,NA,Pre-Infection,25.2,FALSE,NA
A. indica,leaves,T. evansi,Positive Control,NA,Infection,25.9,FALSE,NA
A. indica,leaves,T. evansi,Positive Control,NA,Post-Infection,27,FALSE,NA
M. oleifera,seeds,T. evansi,100mg/ml,100,Pre-Infection,17.83,FALSE,NA
M. oleifera,seeds,T. evansi,100mg/ml,100,Infection,24.1,FALSE,NA
M. oleifera,seeds,T. evansi,100mg/ml,100,Post-Infection,22.23,FALSE,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,Pre-Infection,19.83,FALSE,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,Infection,24.1,FALSE,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,Post-Infection,21.77,FALSE,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,Pre-Infection,16.47,FALSE,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,Infection,20.47,FALSE,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,Post-Infection,19.67,FALSE,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,Pre-Infection,20.03,FALSE,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,Infection,23.2,FALSE,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,Post-Infection,26,FALSE,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,Pre-Infection,18.2,FALSE,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,Infection,21.97,FALSE,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,Post-Infection,20.47,FALSE,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,Pre-Infection,17.9,FALSE,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,Infection,23.27,FALSE,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,Post-Infection,21.6,FALSE,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,Pre-Infection,20.3,FALSE,NA
